Best bit: 15  | silhouette_true=0.39433
bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,0.03270779550075531,0.356987327337265,5550.220703125,0.018000371754169464
1,0.009382982738316059,0.3074980080127716,4385.56396484375,0.013441720977425575
2,0.01562055665999651,0.3097115159034729,4631.01611328125,0.014348035678267479
3,0.055708203464746475,0.3553343415260315,5039.71044921875,0.016761794686317444
4,0.004970471374690533,0.3075014650821686,4369.548828125,0.013466346077620983
5,0.006079971324652433,0.31313833594322205,4397.56689453125,0.013737447559833527
6,0.014240666292607784,0.303301602602005,4680.72998046875,0.014300152659416199
7,0.01041682343930006,0.3070969581604004,4477.9091796875,0.013773111626505852
8,0.034466736018657684,0.3467739522457123,5230.21875,0.01710178703069687
9,0.024703122675418854,0.3102400600910187,5039.0380859375,0.015483791008591652
10,0.035934533923864365,0.3371666967868805,5156.3095703125,0.01654203236103058
11,0.045420289039611816,0.3613801598548889,5305.69775390625,0.017318671569228172
12,0.1728498339653015,0.41662177443504333,8032.8056640625,0.027980633080005646
13,0.08468269556760788,0.3502926230430603,6836.16162109375,0.021138954907655716
14,0.20831769704818726,0.4214267432689667,8354.505859375,0.02897217869758606
15,0.3943345844745636,0.4711158275604248,10212.2744140625,0.042895860970020294
16,0.008398649282753468,0.3100281357765198,4413.3046875,0.013678399845957756
17,0.009281597100198269,0.3151550889015198,4471.857421875,0.013957411050796509
18,0.008601941168308258,0.3086928725242615,4365.59912109375,0.01337868720293045
19,0.0073756021447479725,0.31275102496147156,4271.30810546875,0.013236011378467083
20,0.004175078589469194,0.309379905462265,4309.88134765625,0.013293350115418434
21,0.0004142764664720744,0.30982479453086853,4164.9404296875,0.012821422889828682
22,0.0033737902995198965,0.3085203170776367,4278.3388671875,0.013156277127563953
23,0.0023735114373266697,0.30978381633758545,4186.65771484375,0.012918085791170597
24,0.0009299825760535896,0.30987975001335144,4199.4716796875,0.012967534363269806
25,0.0007779599400237203,0.30689287185668945,4235.60791015625,0.013027770444750786
26,0.002794300438836217,0.30542200803756714,4331.38427734375,0.01329749170690775
27,0.0007820002501830459,0.3070831894874573,4221.5048828125,0.012987520545721054
28,0.0034569052513688803,0.30425766110420227,4251.482421875,0.013019105419516563
29,0.01675735041499138,0.3056386113166809,4735.22216796875,0.014511842280626297
30,0.027004873380064964,0.3156311511993408,4903.0859375,0.015274913050234318
31,0.02459729090332985,0.31387996673583984,4843.27734375,0.01502008456736803
32,0.01764516532421112,0.31253936886787415,4691.1611328125,0.014697561040520668
33,0.004668472800403833,0.30935904383659363,4334.2685546875,0.013392221182584763
34,0.00155661313328892,0.3062083423137665,4229.98388671875,0.012976517900824547
35,0.0014508396852761507,0.30598607659339905,4245.6416015625,0.013044063001871109
36,0.00644716015085578,0.31070438027381897,4224.74609375,0.013052786700427532
37,0.01693539507687092,0.3045106828212738,4511.1728515625,0.013778272084891796
38,0.024718614295125008,0.31223949790000916,5052.2080078125,0.0153755322098732
39,0.015464899130165577,0.3116125166416168,4387.63525390625,0.013577282428741455
40,0.004439329728484154,0.30598315596580505,4293.3876953125,0.013231399469077587
41,0.0012664151145145297,0.3080953061580658,4276.251953125,0.013199897482991219
42,0.008282129652798176,0.30890601873397827,4307.58154296875,0.013312243856489658
43,0.006964261643588543,0.31047573685646057,4293.4345703125,0.013321912847459316
44,0.004190011881291866,0.3091028034687042,4260.158203125,0.013131266459822655
45,0.01625199429690838,0.3126404583454132,4626.08251953125,0.014286044985055923
46,0.0167462807148695,0.30741673707962036,4717.49853515625,0.014453908428549767
47,0.013757983222603798,0.3135520815849304,4447.837890625,0.013837583363056183
48,0.007969270460307598,0.3122848570346832,4328.57080078125,0.013476988300681114
49,0.01659422554075718,0.31679779291152954,4638.7578125,0.014558021910488605
50,0.013695094734430313,0.30768540501594543,4567.10546875,0.014163846150040627
51,0.022450929507613182,0.3184430003166199,4549.13232421875,0.014260339550673962
52,0.007433326914906502,0.3066422939300537,4375.0654296875,0.013506690040230751
53,0.010067439638078213,0.31015995144844055,4539.36474609375,0.014133655466139317
54,0.021682508289813995,0.30536508560180664,4828.6650390625,0.014875149354338646
55,0.015438534319400787,0.3070402145385742,4483.0390625,0.013774469494819641
56,0.004606722388416529,0.31173232197761536,4357.52783203125,0.013502519577741623
57,0.0077529242262244225,0.313936322927475,4493.8154296875,0.01402311585843563
58,0.015429891645908356,0.306397020816803,4734.091796875,0.0145940650254488
59,0.01715141348540783,0.3068440556526184,4630.7392578125,0.01424287911504507
60,0.006831657607108355,0.30683985352516174,4394.51171875,0.013516589999198914
61,0.006529455538839102,0.30687183141708374,4368.1435546875,0.013453565537929535
62,0.00712053757160902,0.3089200556278229,4437.767578125,0.01371234841644764
63,0.00395579170435667,0.3120581805706024,4376.95703125,0.013522256165742874
64,0.056115180253982544,0.33436504006385803,6182.07470703125,0.019205065444111824
65,0.015203079208731651,0.31023862957954407,4885.16015625,0.015139974653720856
66,0.036138005554676056,0.3055512309074402,5777.466796875,0.01768958382308483
67,0.04566912353038788,0.3225850462913513,6002.33056640625,0.01827595941722393
68,0.04753221571445465,0.2994091212749481,5948.61962890625,0.017970573157072067
69,0.014722644351422787,0.3165039122104645,4843.03759765625,0.015182452276349068
70,0.04626551643013954,0.3243556618690491,5969.45654296875,0.018113411962985992
71,0.04689517989754677,0.3192090690135956,5915.6103515625,0.01799892447888851
72,0.052890434861183167,0.3263547718524933,5882.98388671875,0.01808035373687744
73,0.044487833976745605,0.3193603456020355,5099.37890625,0.015825629234313965
74,0.046460844576358795,0.31910470128059387,5451.82470703125,0.016864292323589325
75,0.046602509915828705,0.32397422194480896,5581.3076171875,0.01749696210026741
76,0.06116547808051109,0.33275970816612244,5946.9736328125,0.018479149788618088
77,0.053765520453453064,0.3281797766685486,5636.24755859375,0.01759965531527996
78,0.08773469179868698,0.3324318826198578,6143.146484375,0.019011760130524635
79,0.07369150966405869,0.37169742584228516,6386.6357421875,0.02045094408094883
